%
% ARFF data file, generated by KNIME
%
% Date: Sun Feb 05 11:28:54 BRT 2017
% User: otluiz
%

@RELATION DataTable
@ATTRIBUTE BR	INTEGER
@ATTRIBUTE CondPista	INTEGER
@ATTRIBUTE RestrVisibili	INTEGER
@ATTRIBUTE TipoAcident	INTEGER
@ATTRIBUTE CausaAcident	INTEGER
@ATTRIBUTE TracadoVia	INTEGER
@ATTRIBUTE TipoAuto	INTEGER
@ATTRIBUTE Gravidade	INTEGER
@ATTRIBUTE DiaDaSemana	INTEGER
@ATTRIBUTE Hour	INTEGER
@ATTRIBUTE KMArredondado	INTEGER
@ATTRIBUTE Delegacia	INTEGER
@ATTRIBUTE tx_RestVisibi	REAL
@ATTRIBUTE tx_CondPista	REAL
@ATTRIBUTE tx_TipoAcident	REAL
@ATTRIBUTE tx_DiaSemana	REAL
@ATTRIBUTE tx_CausaAcident	REAL
@ATTRIBUTE tx_TracadoVia	REAL
@ATTRIBUTE tx_BR	REAL
@ATTRIBUTE tx_Km	REAL

@DATA
101,1,10,4,3,4,5,1,4,19,68,1101,0.923,0.802,0.301,0.141,0.375,0.812,0.434,0.025
101,1,10,6,27,4,5,1,6,21,68,1101,0.923,0.802,0.032,0.14,0.028,0.812,0.434,0.025
101,1,40,8,3,4,377,1,2,14,83,1101,0.001,0.802,0.012,0.137,0.375,0.812,0.434,0.017
101,1,10,1,3,4,21,1,4,7,83,1101,0.923,0.802,0.218,0.141,0.375,0.812,0.434,0.017
101,1,10,1,3,4,5,1,3,16,83,1101,0.923,0.802,0.218,0.136,0.375,0.812,0.434,0.017
101,16,10,20,27,4,1,1,6,10,149,1101,0.923,0.025,0.104,0.14,0.028,0.812,0.434,0.001
101,16,10,20,27,4,1,1,1,10,149,1101,0.923,0.025,0.104,0.155,0.028,0.812,0.434,0.001
104,1,10,4,6,4,55,1,7,22,31,1102,0.923,0.802,0.301,0.132,0.255,0.812,0.066,0.003
104,1,10,20,24,4,55,1,6,5,31,1102,0.923,0.802,0.104,0.14,0.022,0.812,0.066,0.003
104,1,10,2,3,4,13,1,6,18,62,1102,0.923,0.802,0.091,0.14,0.375,0.812,0.066,0.008
104,1,10,1,3,4,5,1,5,14,68,1102,0.923,0.802,0.218,0.158,0.375,0.812,0.066,0.025
232,2,10,4,6,4,89,1,3,6,9,1101,0.923,0.135,0.301,0.136,0.255,0.812,0.271,0.011
232,1,10,10,6,4,377,1,5,16,34,1101,0.923,0.802,0.034,0.158,0.255,0.812,0.271,0.003
232,2,10,16,6,4,5,0,7,4,47,1101,0.923,0.135,0.043,0.132,0.255,0.812,0.271,0.008
232,1,10,4,3,12,1,1,5,20,66,1101,0.923,0.802,0.301,0.158,0.375,0.152,0.271,0.016
232,2,10,10,3,4,1,1,6,16,76,1101,0.923,0.135,0.034,0.14,0.375,0.812,0.271,0.008
232,1,50,1,3,4,55,1,4,7,131,1102,0.026,0.802,0.218,0.141,0.375,0.812,0.271,0.003
407,1,60,20,6,4,377,1,2,21,18,1106,0.011,0.802,0.104,0.137,0.255,0.812,0.036,0.002
423,1,10,4,6,4,55,1,5,15,93,1103,0.923,0.802,0.301,0.158,0.255,0.812,0.038,0.006
423,1,10,6,6,4,5,1,6,22,94,1103,0.923,0.802,0.032,0.14,0.255,0.812,0.038,0.01
101,1,10,18,3,4,89,1,2,17,48,1101,0.923,0.802,0.034,0.137,0.375,0.812,0.434,0.006
101,4,10,2,3,4,21,1,7,18,8,1101,0.923,0.018,0.091,0.132,0.375,0.812,0.434,0.011
101,1,10,4,33,4,1,1,5,21,42,1101,0.923,0.802,0.301,0.158,0.038,0.812,0.434,0.006
101,2,10,1,27,4,13,1,2,17,59,1101,0.923,0.135,0.218,0.137,0.028,0.812,0.434,0.009
101,1,10,4,3,4,1,1,3,14,67,1101,0.923,0.802,0.301,0.136,0.375,0.812,0.434,0.019
101,16,10,1,18,4,8,1,6,13,68,1101,0.923,0.025,0.218,0.14,0.039,0.812,0.434,0.025
101,16,10,6,27,4,5,1,7,20,68,1101,0.923,0.025,0.032,0.132,0.028,0.812,0.434,0.025
101,2,10,4,3,4,5,1,6,12,68,1101,0.923,0.135,0.301,0.14,0.375,0.812,0.434,0.025
101,1,10,8,6,4,5,1,6,16,68,1101,0.923,0.802,0.012,0.14,0.255,0.812,0.434,0.025
101,16,10,20,9,4,21,1,4,10,68,1101,0.923,0.025,0.104,0.141,0.024,0.812,0.434,0.025
101,16,10,4,27,4,55,1,2,11,73,1101,0.923,0.025,0.301,0.137,0.028,0.812,0.434,0.008
101,1,10,1,3,4,1,1,1,7,73,1101,0.923,0.802,0.218,0.155,0.375,0.812,0.434,0.008
101,2,10,4,21,4,21,1,6,7,73,1101,0.923,0.135,0.301,0.14,0.089,0.812,0.434,0.008
101,1,10,1,21,4,8,1,2,14,76,1101,0.923,0.802,0.218,0.137,0.089,0.812,0.434,0.008
101,2,10,14,6,4,21,1,6,16,83,1101,0.923,0.135,0.026,0.14,0.255,0.812,0.434,0.017
101,16,10,20,27,12,21,1,4,9,111,1101,0.923,0.025,0.104,0.141,0.028,0.152,0.434,0.001
232,2,10,20,6,4,1,0,6,16,30,1101,0.923,0.135,0.104,0.14,0.255,0.812,0.271,0.004
232,1,10,24,6,4,55,0,7,7,68,1101,0.923,0.802,0.056,0.132,0.255,0.812,0.271,0.025
232,2,30,1,6,4,13,1,1,12,131,1102,0.031,0.135,0.218,0.155,0.255,0.812,0.271,0.003
232,1,10,1,3,12,21,1,4,6,251,1103,0.923,0.802,0.218,0.141,0.375,0.152,0.271,0.0
232,1,60,12,3,12,1,1,7,18,304,1103,0.011,0.802,0.036,0.132,0.048,0.152,0.271,0.0
408,1,10,4,15,12,377,1,3,7,75,1101,0.923,0.802,0.301,0.136,0.037,0.152,0.04,0.008
101,1,10,2,3,4,13,1,7,9,34,1101,0.923,0.802,0.091,0.132,0.375,0.812,0.434,0.003
101,1,10,16,6,4,1,1,2,8,42,1101,0.923,0.802,0.043,0.137,0.255,0.812,0.434,0.006
101,2,10,4,3,4,21,1,3,19,67,1101,0.923,0.135,0.301,0.136,0.375,0.812,0.434,0.019
101,1,10,18,6,4,233,1,2,7,68,1101,0.923,0.802,0.034,0.137,0.255,0.812,0.434,0.025
101,16,30,14,27,4,5,1,3,21,70,1101,0.031,0.025,0.026,0.136,0.028,0.812,0.434,0.016
101,2,10,20,6,12,21,1,1,19,73,1101,0.923,0.135,0.104,0.155,0.255,0.152,0.434,0.008
101,1,10,1,3,4,5,1,1,14,83,1101,0.923,0.802,0.218,0.155,0.375,0.812,0.434,0.017
101,1,10,1,3,8,8,1,4,18,83,1101,0.923,0.802,0.218,0.141,0.375,0.037,0.434,0.017
101,1,10,1,3,4,21,1,1,18,83,1101,0.923,0.802,0.218,0.155,0.375,0.812,0.434,0.017
101,1,10,1,3,4,13,1,1,18,83,1101,0.923,0.802,0.218,0.155,0.375,0.812,0.434,0.017
101,1,10,20,6,4,1,1,7,6,83,1101,0.923,0.802,0.104,0.132,0.255,0.812,0.434,0.017
101,1,10,20,24,12,1,1,7,13,102,1101,0.923,0.802,0.104,0.132,0.022,0.152,0.434,0.006
101,1,10,1,33,4,13,1,4,21,102,1101,0.923,0.802,0.218,0.141,0.038,0.812,0.434,0.006
232,2,10,4,3,4,55,1,1,8,9,1101,0.923,0.135,0.301,0.155,0.375,0.812,0.271,0.011
232,1,10,4,3,4,1,1,2,6,9,1101,0.923,0.802,0.301,0.137,0.375,0.812,0.271,0.011
232,1,10,4,6,4,5,1,4,18,9,1101,0.923,0.802,0.301,0.141,0.255,0.812,0.271,0.011
232,2,10,4,3,4,8,1,6,1,101,1102,0.923,0.135,0.301,0.14,0.375,0.812,0.271,0.005
