@relation prfPeriodoTx-weka.filters.unsupervised.instance.RemovePercentage-P66.7-V

@attribute BR numeric
@attribute CondPista {Seca,'Com buraco',Molhada,'Em obra',Outra,Escorregadia,Oleosa,Enlameada,'Com material granulado','Com Gelo'}
@attribute RestrVisibili {Inexistente,Outros,'Veículo estacionado','Configuração do terreno',Poeira/fumaça/neblina,Vegetação,Ofuscamento,Cartazes/faixas,Placas}
@attribute TipoAcident {'Colisão Transversal','Colisão com objeto fixo','Atropelamento de pessoa','Colisão lateral','Colisão traseira',QuedaMoto/bicla,'Colisão com bicicleta',Capotamento,'Atropelamento de animal','Colisão frontal','Saída de Pista','Colisão com objeto móvel',Tombamento,'Derramamento de Carga','Danos Eventuais',Incêndio}
@attribute CausaAcident {Outras,'Falta de atenção','Velocidade incompatível','Ultrapassagem indevida','Desobediência à sinalização','Defeito mecânico','Animais na Pista','Não guardar distância segura',Dormindo,'Defeito na via','Ingestão de álcool'}
@attribute TracadoVia {Reta,Curva,Cruzamento}
@attribute TipoAuto {Automóvel,'Não Informado','Não se Aplica',Motocicletas,Caminhão-Trator,Camioneta,Caminhão,Bicicleta,Caminhonete,Ônibus,Microônibus,'Não identificado',Motoneta,'Trator de rodas',Triciclo,Carroça,Caminhão-Tanque,Semi-Reboque,Utilitário,Ciclomotor,Charrete,Carro-de-mao,Quadriciclo,'Trator misto',Reboque,'Trator de esteiras'}
@attribute Gravidade numeric
@attribute DiaDaSemana {Terça-feira,Domingo,Quarta-feira,Sábado,Segunda-feira,Sexta-feira,Quinta-feira}
@attribute KMArredondado numeric
@attribute Delegacia {1101.0,1102.0,1105.0,1103.0,1106.0,1104.0,NA}
@attribute probAcident numeric
@attribute Periodo {Noite,Manhã,Madrugada,Tarde}

@data
232,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Caminhonete,1,Domingo,102,1102.0,0.163,Madrugada
232,Outra,Outros,'Colisão frontal','Falta de atenção',Curva,Automóvel,1,Segunda-feira,175,1102.0,0,Tarde
428,Seca,Inexistente,Capotamento,Dormindo,Reta,Caminhão,1,Domingo,138,1106.0,0.03,Madrugada
101,Molhada,Inexistente,'Atropelamento de pessoa',Outras,Reta,'Não se Aplica',1,Sábado,32,1101.0,0.044,Noite
101,Seca,Inexistente,'Colisão traseira',Outras,Reta,Camioneta,1,Quarta-feira,41,1101.0,0.261,Manhã
101,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Motocicletas,1,Quinta-feira,51,1101.0,0.261,Tarde
101,Seca,Inexistente,'Colisão frontal','Falta de atenção',Curva,Automóvel,1,Terça-feira,68,1101.0,0.049,Manhã
101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Curva,Camioneta,1,Terça-feira,68,1101.0,0.049,Tarde
101,Seca,Inexistente,QuedaMoto/bicla,Outras,Reta,Bicicleta,1,Segunda-feira,70,1101.0,0.261,Manhã
101,Molhada,Inexistente,'Colisão traseira','Falta de atenção',Reta,Ônibus,1,Sábado,76,1101.0,0.044,Manhã
101,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Caminhão-Trator,1,Quarta-feira,83,1101.0,0.261,Manhã
101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Motocicletas,1,Sexta-feira,102,1101.0,0.261,Manhã
101,Seca,Inexistente,'Colisão frontal','Falta de atenção',Curva,Caminhão-Trator,1,Terça-feira,136,1101.0,0.049,Tarde
104,Seca,Inexistente,'Colisão com objeto fixo','Defeito mecânico',Curva,Caminhão-Trator,1,Sábado,31,1102.0,0.007,Madrugada
104,Seca,Inexistente,'Colisão lateral',Outras,Reta,Motocicletas,1,Sexta-feira,62,1102.0,0.04,Tarde
104,Seca,Inexistente,'Colisão lateral',Outras,Reta,Caminhonete,1,Quinta-feira,67,1102.0,0.04,Manhã
116,Molhada,Inexistente,'Saída de Pista','Defeito mecânico',Reta,Motocicletas,0,Sábado,26,1105.0,0.001,Tarde
116,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Automóvel,1,Segunda-feira,26,1105.0,0.007,Manhã
232,Seca,Inexistente,'Saída de Pista',Outras,Reta,Automóvel,1,Sábado,9,1101.0,0.163,Noite
232,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Caminhão-Trator,1,Quinta-feira,9,1101.0,0.163,Manhã
232,'Com buraco',Inexistente,QuedaMoto/bicla,'Defeito na via',Reta,Motocicletas,1,Terça-feira,11,1101.0,0.005,Noite
232,Seca,Inexistente,'Colisão traseira',Outras,Curva,Motocicletas,1,Quarta-feira,11,1101.0,0.03,Manhã
232,Seca,Inexistente,'Colisão com objeto fixo','Falta de atenção',Curva,Camioneta,1,Sexta-feira,62,1101.0,0.03,Tarde
232,Molhada,Inexistente,'Colisão com objeto móvel',Outras,Curva,Motocicletas,1,Domingo,76,1101.0,0.005,Noite
232,Seca,Inexistente,'Colisão Transversal','Falta de atenção',Reta,Ônibus,1,Sexta-feira,131,1102.0,0.163,Noite
428,Seca,Inexistente,Tombamento,'Defeito mecânico',Reta,Caminhão,1,Quinta-feira,25,1105.0,0.03,Manhã
101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Automóvel,1,Quinta-feira,21,1101.0,0.261,Manhã
101,Molhada,Outros,'Colisão traseira',Outras,Reta,Caminhão,1,Sábado,42,1101.0,0.001,Manhã
101,Seca,Inexistente,'Colisão traseira','Não guardar distância segura',Reta,Automóvel,1,Sexta-feira,42,1101.0,0.261,Tarde
101,Seca,Inexistente,'Colisão traseira',Outras,Reta,Automóvel,1,Domingo,42,1101.0,0.261,Noite
101,Seca,Inexistente,'Colisão com objeto móvel','Falta de atenção',Reta,Bicicleta,1,Sexta-feira,67,1101.0,0.261,Manhã
101,Molhada,Inexistente,'Colisão traseira','Falta de atenção',Reta,Caminhão,1,Terça-feira,68,1101.0,0.044,Manhã
101,Molhada,Inexistente,'Colisão traseira','Falta de atenção',Reta,Automóvel,1,Quarta-feira,68,1101.0,0.044,Manhã
101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Caminhão,1,Quinta-feira,68,1101.0,0.261,Manhã
101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Motocicletas,1,Quinta-feira,68,1101.0,0.261,Noite
101,Seca,Inexistente,QuedaMoto/bicla,'Defeito na via',Reta,Motocicletas,1,Sábado,68,1101.0,0.261,Noite
101,Seca,Vegetação,'Colisão com bicicleta','Falta de atenção',Reta,'Não identificado',1,Terça-feira,83,1101.0,0,Tarde
101,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Caminhão,1,Quinta-feira,83,1101.0,0.261,Manhã
101,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Motocicletas,1,Quarta-feira,83,1101.0,0.261,Tarde
101,'Com buraco',Inexistente,'Saída de Pista','Defeito na via',Reta,Automóvel,1,Sábado,149,1101.0,0.008,Manhã
101,'Com buraco',Inexistente,'Saída de Pista','Defeito na via',Reta,Automóvel,1,Segunda-feira,149,1101.0,0.008,Manhã
104,Seca,Inexistente,'Colisão traseira',Outras,Reta,Caminhonete,1,Domingo,31,1102.0,0.04,Noite
104,Seca,Inexistente,'Saída de Pista',Dormindo,Reta,Caminhonete,1,Sábado,31,1102.0,0.04,Manhã
104,Seca,Inexistente,'Colisão Transversal','Falta de atenção',Reta,Camioneta,1,Sábado,62,1102.0,0.04,Noite
104,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Motocicletas,1,Sexta-feira,68,1102.0,0.04,Tarde
232,Molhada,Inexistente,'Colisão traseira',Outras,Reta,Ônibus,1,Quarta-feira,9,1101.0,0.027,Manhã
232,Seca,Inexistente,'Colisão com objeto fixo',Outras,Reta,'Não identificado',1,Sexta-feira,34,1101.0,0.163,Tarde
232,Molhada,Inexistente,'Colisão frontal',Outras,Reta,Motocicletas,0,Domingo,47,1101.0,0.027,Madrugada
232,Seca,Inexistente,'Colisão traseira','Falta de atenção',Curva,Automóvel,1,Sexta-feira,66,1101.0,0.03,Noite
232,Molhada,Inexistente,'Colisão com objeto fixo','Falta de atenção',Reta,Automóvel,1,Sábado,76,1101.0,0.027,Tarde
232,Seca,'Configuração do terreno','Colisão lateral','Falta de atenção',Reta,Caminhonete,1,Quinta-feira,131,1102.0,0.005,Manhã
407,Seca,Ofuscamento,'Saída de Pista',Outras,Reta,'Não identificado',1,Terça-feira,18,1106.0,0,Noite
423,Seca,Inexistente,'Colisão traseira',Outras,Reta,Caminhonete,1,Sexta-feira,93,1103.0,0.023,Tarde
423,Seca,Inexistente,QuedaMoto/bicla,Outras,Reta,Motocicletas,1,Sábado,94,1103.0,0.023,Noite
101,Seca,Inexistente,'Atropelamento de pessoa','Falta de atenção',Reta,Ônibus,1,Terça-feira,48,1101.0,0.261,Tarde
101,'Em obra',Inexistente,'Colisão Transversal','Falta de atenção',Reta,Caminhão,1,Domingo,8,1101.0,0.006,Noite
101,Seca,Inexistente,'Colisão traseira','Desobediência à sinalização',Reta,Automóvel,1,Sexta-feira,42,1101.0,0.261,Noite
101,Molhada,Inexistente,'Colisão lateral','Defeito na via',Reta,Camioneta,1,Terça-feira,59,1101.0,0.044,Tarde
101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Automóvel,1,Quarta-feira,67,1101.0,0.261,Tarde
101,'Com buraco',Inexistente,'Colisão lateral','Defeito mecânico',Reta,Caminhão-Trator,1,Sábado,68,1101.0,0.008,Tarde
101,'Com buraco',Inexistente,QuedaMoto/bicla,'Defeito na via',Reta,Motocicletas,1,Domingo,68,1101.0,0.008,Noite
101,Molhada,Inexistente,'Colisão traseira','Falta de atenção',Reta,Motocicletas,1,Sábado,68,1101.0,0.044,Tarde
101,Seca,Inexistente,'Colisão com bicicleta',Outras,Reta,Motocicletas,1,Sábado,68,1101.0,0.261,Tarde
101,'Com buraco',Inexistente,'Saída de Pista','Ultrapassagem indevida',Reta,Caminhão,1,Quinta-feira,68,1101.0,0.008,Manhã
101,'Com buraco',Inexistente,'Colisão traseira','Defeito na via',Reta,Caminhonete,1,Terça-feira,73,1101.0,0.008,Manhã
101,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Automóvel,1,Segunda-feira,73,1101.0,0.261,Manhã
101,Molhada,Inexistente,'Colisão traseira','Não guardar distância segura',Reta,Caminhão,1,Sábado,73,1101.0,0.044,Manhã
